,Activity,Duration,Minutes,Distance,Km,Energy Burned,Kcal,Date,Start,End
0,Cycling,74.21774695118269,min,18.771764289437822,km,333.1279999999998,kcal,2018-01-16 10:43:11,2018-01-16 09:10:51,2018-01-16 10:43:10
1,Cycling,176.59627153476083,min,25.890137349048423,km,568.4010000000012,kcal,2018-01-17 12:53:51,2018-01-17 09:53:00,2018-01-17 12:53:50
2,Cycling,52.4245510160923,min,14.4212786051988,km,260.9200000000001,kcal,2018-01-22 18:24:57,2018-01-22 17:32:30,2018-01-22 18:24:56
3,Walking,46.068419249852504,min,2.107675065276359,km,108.08000000000071,kcal,2018-01-28 21:14:27,2018-01-28 20:28:23,2018-01-28 21:14:27
4,Cycling,124.397043132782,min,32.91244486187706,km,625.7329999999994,kcal,2018-01-29 18:01:21,2018-01-29 15:56:56,2018-01-29 18:01:20
5,Cycling,87.41729048291842,min,8.507782412156978,km,166.6239999999995,kcal,2018-02-21 18:08:42,2018-02-21 16:41:16,2018-02-21 18:08:41
14,Cycling,24.39903980096181,min,6.773529672015825,km,152.44264447169,kcal,2018-10-03 19:22:34,2018-10-03 18:49:38,2018-10-03 19:22:31
15,Cycling,88.08147890170416,min,21.53496525791007,km,442.82011633982415,kcal,2018-10-05 08:41:51,2018-10-05 07:13:38,2018-10-05 08:41:42
16,Cycling,80.64675066669783,min,14.14745307089905,km,303.8668824625763,kcal,2018-10-07 12:16:40,2018-10-07 10:55:54,2018-10-07 12:16:33
17,Walking,15.31339433987935,min,1.353416633015576,km,76.39552790389905,kcal,2018-10-08 09:21:45,2018-10-08 09:06:22,2018-10-08 09:21:43
18,Walking,21.61956405043602,min,1.323486535534917,km,87.60919939892379,kcal,2018-10-08 11:08:12,2018-10-08 10:46:30,2018-10-08 11:08:07
19,Cycling,18.03633898297945,min,3.459295839935937,km,109.76312929911991,kcal,2018-10-11 13:28:42,2018-10-11 12:51:38,2018-10-11 13:28:39
20,Cycling,23.44739300012589,min,4.719825752476397,km,134.7310385210921,kcal,2018-10-18 11:10:35,2018-10-18 10:47:06,2018-10-18 11:10:33
21,Cycling,9.552124967177711,min,0.8814731437774763,km,42.43462168039189,kcal,2018-10-18 14:51:34,2018-10-18 14:31:44,2018-10-18 14:51:32
22,Cycling,46.686687117815026,min,6.709519718123673,km,182.6138728325966,kcal,2018-11-08 13:16:43,2018-11-08 12:29:57,2018-11-08 13:16:39
23,Cycling,19.4582315325737,min,4.609365264537759,km,145.4743759615642,kcal,2018-12-03 07:57:42,2018-12-03 07:38:12,2018-12-03 07:57:39
24,Cycling,17.07427428364754,min,4.6622234188555405,km,116.4440579866515,kcal,2018-12-03 14:30:47,2018-12-03 14:13:41,2018-12-03 14:30:45
25,Cycling,23.262436950206762,min,4.944434773075924,km,146.0303781799172,kcal,2018-12-04 08:53:51,2018-12-04 08:30:33,2018-12-04 08:53:48
26,Cycling,14.336138498783109,min,4.529281644788762,km,90.72054193292337,kcal,2018-12-04 15:15:13,2018-12-04 15:00:51,2018-12-04 15:15:12
27,Cycling,41.94468363324801,min,1.8029440103790182,km,182.77253122501997,kcal,2018-12-05 08:41:29,2018-12-05 07:59:28,2018-12-05 08:41:24
28,Walking,12.303289250532789,min,1.071011992018476,km,65.42631758453518,kcal,2018-12-05 14:42:37,2018-12-05 14:30:17,2018-12-05 14:42:36
29,Walking,31.31606954336166,min,2.030682476091286,km,116.2051102907814,kcal,2018-12-05 16:12:36,2018-12-05 15:41:13,2018-12-05 16:12:32
30,Walking,1.500487267971039,min,0.007199999999997091,km,1.278109957459118,kcal,2018-12-07 22:17:16,2018-12-07 22:15:45,2018-12-07 22:17:15
31,Walking,107.96500730117158,min,3.526858084845924,km,243.4306013860432,kcal,2018-12-08 12:31:04,2018-12-08 10:42:59,2018-12-08 12:30:56
32,Walking,46.908334265152604,min,1.363937598984642,km,91.96778012166716,kcal,2018-12-08 14:27:20,2018-12-08 13:40:20,2018-12-08 14:27:15
33,Walking,5.187359350919723,min,0.001980000000010477,km,4.992105594451057,kcal,2018-12-10 17:07:41,2018-12-10 17:02:29,2018-12-10 17:07:40
34,Cycling,183.37831598321603,min,0.0,km,1362.978256177421,kcal,2019-01-14 19:24:59,2019-01-14 16:21:25,2019-01-14 19:24:48
35,Cycling,20.09106561541557,min,4.6018470288699564,km,139.24332055620448,kcal,2019-01-16 14:21:53,2019-01-16 14:01:45,2019-01-16 14:21:50
36,Cycling,6.3086981991926825,min,2.015353639772524,km,51.41286668324584,kcal,2019-01-16 21:04:02,2019-01-16 20:57:36,2019-01-16 21:04:01
37,Cycling,30.50556171536446,min,5.252533607159741,km,189.6763439271035,kcal,2019-01-25 14:25:55,2019-01-25 13:55:21,2019-01-25 14:25:52
38,Cycling,14.802837099631631,min,3.8338416317342343,km,100.5506636763011,kcal,2019-01-25 21:12:57,2019-01-25 20:58:08,2019-01-25 21:12:56
39,Walking,10.248059664169949,min,0.6791600595089818,km,45.0743035386114,kcal,2019-02-07 15:08:55,2019-02-07 14:58:39,2019-02-07 15:08:54
40,Cycling,26.35668228268623,min,6.437602880419159,km,126.69565869267392,kcal,2019-02-26 13:12:47,2019-02-26 12:46:22,2019-02-26 13:12:44
41,Cycling,0.1774562617142995,min,0.01194102569995866,km,0.02317037564038089,kcal,2019-02-26 20:24:46,2019-02-26 15:55:02,2019-02-26 15:55:12
42,Walking,18.56255241433779,min,1.02291097415222,km,83.53580877009966,kcal,2019-03-14 15:24:11,2019-03-14 15:05:35,2019-03-14 15:24:09
43,Walking,10.19831843773524,min,0.8180054418207098,km,48.003442316989286,kcal,2019-03-24 21:00:46,2019-03-24 20:50:33,2019-03-24 21:00:45
44,Cycling,233.1411672830582,min,35.091531293635214,km,907.9712431645806,kcal,2019-03-26 18:00:21,2019-03-26 13:50:03,2019-03-26 18:00:00
45,Walking,20.96929278771082,min,1.7583768686602819,km,94.78034173857924,kcal,2019-03-29 16:14:50,2019-03-29 15:53:50,2019-03-29 16:14:48
46,Cycling,29.27878943284353,min,3.6051370656208253,km,81.76929947848294,kcal,2019-04-03 17:23:33,2019-04-03 16:54:13,2019-04-03 17:23:29
47,Cycling,10.935435781876249,min,2.270733475143023,km,51.28496952294152,kcal,2019-04-03 19:26:51,2019-04-03 19:09:44,2019-04-03 19:26:50
48,Cycling,8.910500367482504,min,1.37383298455167,km,33.525531241536896,kcal,2019-04-03 19:41:09,2019-04-03 19:29:21,2019-04-03 19:41:08
49,Cycling,24.972492349147803,min,4.050332581409137,km,113.2326855617383,kcal,2019-04-14 18:43:58,2019-04-14 18:18:54,2019-04-14 18:43:53
50,Cycling,20.59073256651561,min,4.179794825320425,km,114.762256846343,kcal,2019-04-14 19:06:17,2019-04-14 18:45:39,2019-04-14 19:06:15
51,Cycling,22.501480017105738,min,7.056759050022575,km,205.84263003130118,kcal,2019-05-03 15:12:04,2019-05-03 14:49:32,2019-05-03 15:12:02
53,Cycling,34.8930343012015,min,0.7912298639909283,km,94.35418859849199,kcal,2019-05-04 10:58:49,2019-05-04 10:08:43,2019-05-04 10:58:47
54,Cycling,17.864881183703737,min,3.080457141980311,km,86.14237749572504,kcal,2019-05-04 11:16:58,2019-05-04 10:59:04,2019-05-04 11:16:56
55,Walking,16.99280855854352,min,1.150490895373375,km,82.49826766976678,kcal,2019-05-11 19:59:21,2019-05-11 19:42:20,2019-05-11 19:59:19
56,Walking,28.559974048535032,min,3.702733936834964,km,253.81986017417802,kcal,2019-06-14 12:44:02,2019-06-14 12:15:23,2019-06-14 12:43:57
57,Cycling,17.27938256661097,min,1.730003166355145,km,46.36714089925279,kcal,2019-06-14 13:01:31,2019-06-14 12:44:11,2019-06-14 13:01:28
58,Cycling,8.18461844921112,min,2.365269921858913,km,50.23441785697626,kcal,2019-06-14 20:03:31,2019-06-14 19:55:18,2019-06-14 20:03:29
59,Cycling,8.207515400648116,min,1.9204963412840008,km,51.05647567930897,kcal,2019-06-15 07:32:04,2019-06-15 07:23:49,2019-06-15 07:32:02
60,Cycling,314.87590717871984,min,31.891244379061714,km,1330.407068946073,kcal,2019-06-15 15:57:54,2019-06-15 09:31:28,2019-06-15 15:57:23
61,Walking,17.64497136274974,min,1.312918767225812,km,63.96990110523221,kcal,2019-07-05 18:16:24,2019-07-05 17:58:44,2019-07-05 18:16:23
63,Walking,18.533935797214514,min,0.9524445754841592,km,57.78566177283976,kcal,2019-08-09 22:31:45,2019-08-09 22:13:11,2019-08-09 22:31:43
66,Walking,29.027486352125802,min,1.8914192086696788,km,110.43623969139949,kcal,2019-10-02 19:28:17,2019-10-02 18:59:12,2019-10-02 19:28:14
67,Walking,23.501628734668103,min,1.4758050214727958,km,82.36355579894808,kcal,2019-10-02 20:37:17,2019-10-02 20:13:45,2019-10-02 20:37:15
68,Walking,156.6025183061759,min,4.660472754714196,km,298.4487978298001,kcal,2019-12-06 19:57:39,2019-12-06 17:20:48,2019-12-06 19:57:24
69,Walking,21.304386427005127,min,1.122069606468833,km,59.405755376349745,kcal,2020-02-17 14:43:38,2020-02-17 14:22:18,2020-02-17 14:43:36
70,Cycling,27.02911396622658,min,4.4791484884488915,km,148.1484564690016,kcal,2020-02-24 15:28:35,2020-02-24 15:01:30,2020-02-24 15:28:31
71,Cycling,33.24985728462537,min,6.952630676862505,km,145.346875553199,kcal,2020-02-24 20:57:35,2020-02-24 20:24:16,2020-02-24 20:57:31
72,Cycling,18.97407510081927,min,3.513280554982383,km,143.7392194307204,kcal,2020-02-25 15:18:32,2020-02-25 14:59:31,2020-02-25 15:18:29
73,Cycling,1.5033667325973508,min,0.1126719065895704,km,3.2792830441761023,kcal,2020-02-25 20:32:44,2020-02-25 20:30:14,2020-02-25 20:32:43
74,Cycling,15.67714674870173,min,4.113597620058917,km,78.5659769872317,kcal,2020-02-25 20:48:59,2020-02-25 20:33:15,2020-02-25 20:48:55
75,Walking,5.1937523007392885,min,0.0106899102620082,km,4.8072705999709155,kcal,2020-03-05 15:11:09,2020-03-05 15:05:55,2020-03-05 15:11:07
76,Cycling,95.43265560269356,min,19.022089163814858,km,523.7402149990711,kcal,2020-03-11 17:10:44,2020-03-11 12:49:10,2020-03-11 17:10:29
77,Cycling,36.612799366315215,min,8.640900147814731,km,214.91789072528007,kcal,2020-03-11 18:08:22,2020-03-11 17:28:43,2020-03-11 18:08:17
86,Walking,60.01822839975357,min,2.3137989294771106,km,123.3793865253595,kcal,2020-05-10 19:27:58,2020-05-10 18:27:53,2020-05-10 19:27:54
87,Cycling,23.38953378399213,min,4.910662052751004,km,123.0474396500243,kcal,2020-05-11 18:40:01,2020-05-11 18:16:34,2020-05-11 18:39:57
